hash,name,signature,note
004EC070,AnimTrigger_ParseConfigFile,void AnimTrigger_ParseConfigFile(uint* path),Name from igi.exe error string INSIDE this function: "AnimTrigger_ParseConfigFile(): Couldn't load script: %s" @0x54DB98. Parses an animtrigger config file into trigger entries.
004B83D0,CompilerCleanup,void CompileCleanUp(int* file),Cleanup files after compiling; Params: File passed to CompileQVM
004F0CF0,ConfigCompile,int ConfigCompile(int context, char* cfgText, int flags),Compiles CONFIG script text into executable task form - body references 'Task_New' (the task factory it emits calls to). Params: context = compilation context; cfgText = config source text/buffer; fla
00405850,ConfigRead,int ConfigRead(char* cfg_file),Read game config file; Params:  File: 'LOCAL:config.qsc'
00405BD0,ConfigWrite,void ConfigWrite(char* cfg_file),Write game config file; Params: File: 'LOCAL:config.qsc'
00415AB0,Game_CutsceneDelete,void Game_CutsceneDelete(void),Deletes/ends the running cutscene and frees its resources. Takes no args.
004AF7B0,ErrorShow,void ErrorShow(char* format, ...),Shows a fatal-error dialog: printf-style FORMAT STRING + variadic args (e.g. push "Level_Load(): Couldn't load script: %s"; push scriptPath; call). Param: format = printf-style string; followed by sub
00402820,FramesSet,void FramesSet(int frames),Set game frames; Params: 30;60 max 240FPS.
00408350,GameMaterial_LoadParameters,void GameMaterial_LoadParameters(void),Name from igi.exe error string inside function: "GameMaterial_LoadParameters: Couldn't load script \"%s\"". Loads game-material parameters from its script.
00403B70,Config_ResetGraphicOptions,void Config_ResetGraphicOptions(),Resets the ACTIVE PROFILE's graphic options to defaults (display mode; gamma; transparency; performance flags). Takes no script args (registrar argc=0 at site 0x40352B; machine code also touches [esp+
004F9FF0,GraphOpen,void GraphOpen(uint level,char* graph_str),Open graph of level;Params: with str 'Graph4019.dat'
004137A0,HumanPlayer_LoadParameters,void HumanPlayer_LoadParameters(void),Name from igi.exe error string inside function: "HumanPlayer_LoadParameters: Couldn't load script \"%s\"". Loads humanplayer parameters (weapons/ammo/cycle definitions) from script.
004157D0,Game_DisablePlayerInput,void Game_DisablePlayerInput(void),Disables ALL player input (keyboard+mouse) - used by cutscenes/menus. Re-enable with Game_EnablePlayerInput.
00415830,Game_EnablePlayerInput,void Game_EnablePlayerInput(void),Re-enables player input after Game_DisablePlayerInput. Takes no args.
004BBC30,LogAdd,void LogAdd(char* format, ...),Adds a formatted line to the engine log - printf-style variadic (function formats through vsprintf helper fcn.004A5702; r2 header args sp[0x4..0x8]). Param: format = printf-style string + substitution
004F0E10,Level_LoadObjects,void Level_LoadObjects(int level_path,int level_len),Loads all OBJECTS for the level: reads the level object set and instantiates each object entity in the world. Takes the level/path argument from the calling load script. Use during level-load flow bef
00416550,Game_DeleteHandler,void Game_DeleteHandler(void),The game's DELETE handler - runs when a level/game session is torn down (quit path); releasing entities and session state. Takes no args. Engine-internal teardown; do not call to 'quit' - it is the cl
00416FE0,Game_Restart,void Game_Restart(void),Restarts the CURRENT LEVEL/session: tears down and reloads the running game state (the Ctrl+F4-style restart path). Takes no args. Use to reset the mission without going back to menus. [Name corrected
00415B30,LevelStart,void LevelStart(int p1),Start new level; Params:  p1: 0057BABC
00418B00,MenuManager,int* MenuManager(int p1,char *menu_str,char p3,char p4,int p5),MenuManager load for inagame or Mainmenu;Params:  p1: 0057BABC ;p3;p4;p5: 0.
00415A60,Game_DisableMusic,void Game_DisableMusic(void),Stops the music engine. Takes no args.
00415A10,Game_EnableMusic,void Game_EnableMusic(void),Starts/resumes the music engine. Takes no args.
00495F30,MusicSetSfxVolume,void MusicSetSfxVolume(float volume),Sets the SFX bus volume feeding the music/sound mix path. Param: volume = float 0.0-1.0 scaled by global factor. Use for live SFX fade.
00495E70,MusicSetVolume,void MusicSetVolume(float volume1,float volume2),Sets BOTH music engine volumes (likely front/master pair) after scaling by the global music factor. Params: volume1; volume2 = floats 0.0-1.0 scaled against settings. Use for live music fades.
004158E0,Game_UpdateVolume,void Game_UpdateVolume(void),Applies current profile music/sfx volumes to the live audio engines. Takes no args.
004EDFE0,PhysicsObjType_ParseConfigFile,void PhysicsObjType_ParseConfigFile(char* cfg_file),Name from igi.exe error string inside function: "PhysicsObjType_ParseConfigFile(): Couldn't load script" @0x54DC7C. Parses a physicsobj type config.
004B0D60,QhashInit,void QHashInit(char hash_val),Init hash table value; Params: hash value 0 or 1.
004B0D90,QhashReset,void QHashReset(void),Reset QTask type hash table.
004B8410,QscCompile,int QscCompile(char* qscFile),Compiles a .QSC script source into executable QVM form - body contains the output-extension strings '.qvm' and '.qas' plus 'An error occured when compiling file: %s'. Param: qscFile = virtual path end
004F0E90,QtaskUpdate,void QtaskUpdate(void),Update QTask hash table call before loading level.
00401B20,QtaskUpdateList,void QtaskUpdateList(int* p1),Update all QTask list; Params: p1 ??
004BB270,QvmAssemble,int QvmAssemble(char* sourcePath, char* outputPath),Assembles a QVM SCRIPT SOURCE into binary form: runs a full lexer/parser over the source (embedded regex patterns '[a-zA-Z][a-zA-Z0-9_]*:'; '[ \t\n\r]+'; comment stripping '{.*:(.*//)*}.*'); writes in
004B85B0,QvmCompile,int QvmCompile(char* scriptFile),Compiles a script file into a QVM program; reporting failures with 'Error in QVM program: %s' and 'An error occured in script file: %s'. Param: scriptFile = virtual path of the script to compile. RETU
004B80B0,QvmLoad,int * QvmLoad(char *file_name),Compiles and Load any .qvm file into memory; Params: any qvm file name;  Returns filename loaded.
004BBCB0,QvmParse,int QvmParse(char* inputFile, char* outputFile),Parses a script file and GENERATES ASSEMBLY CODE (own log line: 'Parsing script and generating assembly code.'). Writes the assembly to outputFile ('Failed to open file "%s" for writing.' on failure).
004B63D0,Resource_Flush,void Resource_Flush(int* p1),Name from igi.exe error string inside function: "Resource_Flush() : Couldn't locate resource at %p". Flushes/finalizes resource entries.
004B5F00,ResourceLoad,int* ResourceLoad(char* resourcePath, char** outBuffer),Loads a VIRTUAL RESOURCE (path like 'LOCAL:...' or 'MISSION:...') into memory: emits 'Failed to load resource: '%s'' on miss. Params: resourcePath = virtual resource path; outBuffer = receives the loa
004B6380,Resource_Unload,void Resource_Unload(int *resource_file),Name from igi.exe error string inside function: "Resource_Unload() : Resource '%s' is not loaded." Unloads a resource by name/path.
004B5B90,IsResourceLoaded,int IsResourceLoaded(char* resourcePath, int** outEntry),Checks whether a virtual resource is already loaded and optionally returns its table entry. Params: resourcePath = virtual path to test; outEntry = receives the resource-table entry if found. RETURNS 
004B18B0,ResourcePackUnpack,int ResourcePackUnpack(char* resFile, char** outBuffer),Unpacks a PACKED resource file (compressed/packed container format) into memory. Params: resFile = virtual path of the packed resource; outBuffer = receives unpacked data pointer. RETURNS size/handle 
004B16D0,ResourceUnpack,void ResourceUnpack(int* resPtr, int destAddr, int resSize),Unpacks a raw resource ENTRY previously obtained from the resource table into a destination address. Params: resPtr = resource-table entry; destAddr = destination memory address; resSize = bytes to un
004F0E50,ScriptInit,void ScriptInit(char* file_name,int8_t p2,int p3,int8_t p4),Initialises the script system for a file. Params: file_name = script path; p2 = byte flag (observed); p3 = int option; p4 = byte flag. Refined types from decompiled header (two int8_t slots detected).
004B8930,Script_SetSymbolContext,void Script_SetSymbolContext(byte *symbol_name,int** symbol_buf),Name from igi.exe error string inside function: "Script_SetSymbolContext(): Symbol not found: %s". Sets the symbol context for subsequent script operations.
00485AD0,StatusMessageScreen_ClearMessages,void StatusMessageScreen_ClearMessages(void),Clears all on-screen status messages. Takes no args.
00485970,StatusMessageShow,int StatusMessageShow(int status_timer,char* msg,char* sprite,int status_byte),Displays an on-screen STATUS MESSAGE (the HUD text that also drives FiberPool pumping!). Params: status_timer = display duration ticks; msg = text; sprite = optional icon sprite; status_byte = style/c
004C0460,SymbolRemove,void SymbolRemove(int* p1,int* symbol_name),Removes a symbol from the game-data symbol table. Params: p1 = symbol-table context; symbol_name = name/reference of the symbol to remove.
004B8810,TasktypeSet,void TasktypeSet(int** task_str,int task_id),Defines new constants for game and scripts ;Params: task_str (int**)WEAPONTYPE_PISTOL; task_id
004AF810,WarningShow,void WarningShow(char* format, ...),Shows a warning dialog - printf-style variadic like ErrorShow (retail: push str."QTasktype \"%s\"..."; push eax; call -> add esp;8). Param: format = printf-style string + substitution args.
004071E0,WeaponConfigRead,int WeaponConfigRead(int context, char* cfgText),Reads/compiles a WEAPON CONFIG text: strlen-copies cfgText into the engine's static config buffer (0x5690F0) then hands it to ConfigCompile (0x4F0CF0) - the compiled task list drives weapon definition
004C0560,SymbolCheck,int * SymbolCheck(int *p1,int **symbol_name,int* p3),Check symbol in QTask list if already loaded; Params: symbol_name like 'TaskType_Set'; p1;p3 ??
004B8890,GameDefineOptions,void GameDefineOptions(int **option_str,int option_func_addr,int opt1,int opt2),Define game options constants ; Params: opt_str (int**)'DefineAmmoType'
004C0200,ScriptBufInit,void ScriptBufInit(int* buf1, int buf2, int buf, int bufSize),Initializes the four script-buffer control fields used by the script engine (pure field writer; no calls). Params: buf1/buf2 = buffer structure pointers; buf = data buffer; bufSize = its size. Call be
004E68D0,SoundLoad,void SoundLoad(char *sound_dir),Load all level sounds from path ; Params: Path of sound like 'MISSION:sounds'
004B0C60,Mem_Alloc,void* Mem_Alloc(int numBytes,int tag),Engine heap allocator. Params: numBytes = bytes to allocate; tag = allocation bucket shown in the 'Total allocated by user' accounting. RETURNS pointer or 0 on failure (error text: 'Mem_Alloc() failed
004B0BE0,MemDeallocAll,void MemDeallocAll(void),Deallocate allocated memory. Frees EVERY tracked heap block (walks allocation list via 0x4B0D10); then warns "%d block(s) of memory have not been deallocated." Takes no args - NOT a single-pointer fre
00484E60,Mission_Open,void Mission_Open(char **ptr_file),Name from igi.exe error string inside function: "Mission_Open(): Couldn't load script: %s". Opens a mission definition script and builds its task tree.
004A5350,FileOpen,void* FileOpen(const char* file,char *mode),Open file for reading or writing; Params: Check fopen() in c.
004B1510,QFileOpen,void* QFileOpen(const char* file,char *mode),Open Qfile (QSC;QVM) for reading or writing; Params: Check fopen() in c.
004C48E0,RigidDyncubeObjRead,void RigidDynCubeObjRead(uint *cfg_file),Read rigid dynCube config file ; Params: config file of rigid dynCube.
004C4930,MagicObjLoad,void MagicObjLoad(char *path),Loads magic objects from path; Params: Path 'LOCAL:magicobj'
004EC0C0,AnimTriggerLoad,void AnimTriggerLoad(char *path),Loads anim trigger objects from path; Params: Path 'LOCAL:animtrigger'
004EE030,PhysicsObjLoad,void PhysicsObjLoad(char *path),Loads physics objects from path; Params: Path 'LOCAL:physicsobj'
0047CAB0,AmmoTypeOpen,void AmmoTypeOpen(void),Open ammo qvm file to memory for all weapons loaded.
00413B70,WeaponTypeOpen,void WeaponTypeOpen(void),Open all weapons defined in .qsc file for Humanplayer.
004A53B3,GameDataSymbolLoad,int GameDataSymbolLoad(char* symBuf, char* symPath, char* symName),Parses game-data SYMBOL DEFINITIONS from a buffer into the symbol table: tokenizes via 0x4A7720 with per-name limit 0x42 (66 bytes) and count cap 0x7FFFFFFF; null-terminates each parsed name. Params: 
004B80A0,GameDataSymbolRemove,void GameDataSymbolRemove(char* sym_buf),Removes game data symbol for game like internal vairables;UI controls;timers etc.
004B7EE0,SymbolRegisterBool8,void SymbolRegisterBool8(int** table, char* name),Registers a bool8 (byte 0/1) game-data symbol: thin thunk that calls the core registrar QTaskHashTableSet (0x4BAAC0) with a fixed argument tail (1;1;0;1;handler 0x4B7F00) binding 'name' to its typed g
004B7E80,SymbolRegisterInt16,void SymbolRegisterInt16(int** table, char* name),Registers a int16 game-data symbol: thin thunk that calls the core registrar QTaskHashTableSet (0x4BAAC0) with a fixed argument tail (1;1;0;1;handler 0x4B7F20-family) binding 'name' to its typed gette
004B7FA0,SymbolRegisterInt32,void SymbolRegisterInt32(int** table, char* name),Registers a int32 game-data symbol: thin thunk that calls the core registrar QTaskHashTableSet (0x4BAAC0) with a fixed argument tail (1;1;0;1;handler 0x4B7F40-family) binding 'name' to its typed gette
004B7FC0,SymbolRegisterReal32,void SymbolRegisterReal32(int** table, char* name),Registers a real32 (float) game-data symbol: thin thunk that calls the core registrar QTaskHashTableSet (0x4BAAC0) with a fixed argument tail (1;1;0;1;handler 0x4B7FA0-family) binding 'name' to its ty
0048A440,LoadingScreenShow,void LoadingScreenShow(int picVariant),Shows the LOADING SCREEN: loads LOCAL:menusystem/loadingscreen.res then displays loading.pic - or loading_us.pic on USA country builds (pairs with LevelFlow_IsCountryUSA); wires up display-mode functi
004BAAC0,QTaskHashTableSet,void QTaskHashTableSet(int** table, void* handler, int nameVal, int p4, int p5, int p6, int p7),THE CORE REGISTRAR: inserts an entry into the task/hash table binding a name-value pair to a handler callback. All 7 stack args confirmed by disassembly header (arg_18h..arg_3Ch). Every SymbolRegister
00413BB0,WeaponsCountGet,int Weapons_CountGet(),RETURNS the number of weapons defined for the human player: reads global counter 0x57B18C (exactly `mov eax;[0x57B18C]; ret`). That counter is written by the DefineHumanPlayerWeaponCycle definition pa
0045FFC0,WeaponGunPickup,void Weapon_GunPickup(void* player, void* pickupEntity),Gives a GUN pickup to the player: checks the player's already-carried flag (player+0xCF5); reads the weapon id from pickupEntity+8 -> word +0x1C; validates the weapon category via 0x401CF0; hands the 
0045FF80,WeaponAmmoPickup,void Weapon_AmmoPickup(void* player, void* pickupEntity),Gives an AMMO pickup to the player (same struct conventions as Weapon_GunPickup: player carry-flags and pickup-entity fields drive the grant; plays the pickup sound). Params: player = player struct pt
00416D80,Human_HitDamage,uint Human_HitDamage(void),Reads the player XP/hit byte: returns byte [PlayerPtr+0xE1]. Takes no args. Documented alias of HUMAN_HIT_DAMAGE - same address.
00463760,HumanViewCam,void Human_ViewCam(void* human, int camValue),Sets the human's VIEW-CAMERA selector: stores camValue into human struct offset +0x4F0 (verified: mov [ecx+0x4F0];eax; ret - 5-byte setter). Params: human = Human/soldier struct ptr; camValue = camera
004659E0,HumanTaskViewReset,void Human_TaskViewReset(void* human),Resets the human's VIEW TANGENT fields to retail defaults: computes tan() of the half-FOV globals 0x5335E8/0x5339C0 (the same globals ENHANCER::FOV_SET writes) and stores them into human+0x1E4 and hum
00406220,Config_GetActivePlayerProfileRecord,void* Config_GetActivePlayerProfileRecord(),RETURNS pointer to the ACTIVE PROFILE's graphic-options/config record: computed as 0xBC2388 + 0xD14*[0xBC2384] (verified against retail defaults-reset fcn.00403B70 which walks the same layout). Takes 
0045C440,SoldierExecute,void SoldierExecute(void* context, void* soldierPtr);,Executes/initializes a SOLDIER AI entity in the level. Params: context = task/context object (2nd arg is the soldier ptr - verified: esi=[esp+0x1C] after prologue). The function reads soldier-struct f
00402780,Flow_RequestEvent,void Flow_RequestEvent(int eventId),Requests a flow-task event by id (drives the level's flow state machine). Param: eventId = flow event number used in the level flow script. Use from mission flow scripts to trigger scripted transition
004036B0,GOPlayer,int GO_Player(char* name),Adds a player profile named 'name' to the config while a .cfg/GO script block is being read; subsequent GO_* settings apply to this profile. Param: name = profile display name (string). Use inside con
004037C0,GOInRemap,int GO_InRemap(int key1, int key2, int action),Adds one input binding (key remap) to the current profile. Params: key1 = primary key code; key2 = secondary key code; action = in-game action id being bound. Use in input/config scripts; repeat once 
00403870,GOInMouInv,int GO_InMouInv(int invert),Toggles inverted mouse-look for the current profile. Param: invert = 1 invert Y axis; 0 normal. Use in config scripts. Returns 1.
004038E0,GOInMouSens,float GO_InMouSens(float sensitivity),Sets mouse sensitivity for the current profile. Param: sensitivity = float multiplier as saved by the options screen. Use in config scripts. Returns 1.
00403950,GOGfxDisp,int GO_GfxDisp(int displayMode),Sets display-mode selection for the current profile. Param: displayMode = mode index from the retail display list (see Display_GetActiveMode/display table). Use in config scripts. igi.exe registers it
00404010,GOGfxDevice,int GO_GfxDevice(int deviceIndex),Sets render-device (D3D device/GUID) selection for the current profile. Param: deviceIndex = index into the render-device list filled by Config_FillRenderDeviceListBox. Use in config scripts. Returns 
00404080,GOGfxGamma,int GO_GfxGamma(float gamma),Sets gamma for the current profile. Param: gamma = float; retail default 1.0 (range ~0.5-3.0 clamped elsewhere). Use in config scripts. Returns 1.
00403A00,GOGameLang,int GO_GameLang(int language),Sets game language for the current profile. Param: language = language index (retail ships English=0 and German builds use their own index). Use in config scripts. Returns 1.
00403AC0,GOGameDiff,int GO_GameDiff(int difficulty),Sets game difficulty for the current profile. Param: difficulty = 0 easy; 1 medium; 2 hard (retail order). Use in config scripts. Returns 1.
