"hash","name","signature","note"
"004EC070","AnimTrigger_ParseConfigFile","void AnimTrigger_ParseConfigFile(uint* path)","Name from igi.exe error string INSIDE this function: ""AnimTrigger_ParseConfigFile(): Couldn't load script: %s"" @0x54DB98. Parses an animtrigger config file into trigger entries."
"004B83D0","Qvm_Cleanup","void Qvm_Cleanup(void* qvm)","Frees a loaded QVM script object: reads qvm+0x8C and releases the program block when non-zero. Param: qvm = pointer from Qvm_Load. Pair with Qvm_Load to avoid leaks."
"004F0CF0","Config_Compile","int Config_Compile(int context, char* cfgName, int flags)","Compiles a CONFIG script: validates context, then loads its compiled QVM via QvmLoad (0x4B80B0); references the Task_New name during task-table wiring. Params: context = config context id, cfgName = config path/name, flags = compile flags. Use when (re)loading game configuration programmatically."
"00405850","Config_Read","int Config_Read(char* cfg_file)","Read game config file, Params:  File: 'LOCAL:config.qsc'"
"00405BD0","Config_Write","void Config_Write(char* cfg_file)","Write game config file, Params: File: 'LOCAL:config.qsc'"
"00415AB0","Game_CutsceneDelete","void Game_CutsceneDelete(void)","Deletes/ends the running cutscene and frees its resources. Takes no args. | OUTRO USAGE: each level OBJECTS.QVM ends with a ConditionalContainer Task_New named ""Outro cutscene"" (condition e.g. ""AreaActivate_156.nActive && !HumanPlayer_0.isDead"") that calls MenuManager_SetEnabled(FALSE)+Game_DisableMusic()+THIS FUNCTION before playing the exit CutScene (e.g. CutScene_2222 heli escape), then restores menus/music on finish. TO REMOVE OUTROS: either patch that container condition to FALSE per OBJECTS.QVM, or hook CutScene_TaskUpdate 0x4F51D0 to complete instantly (generic - kills intro+outro in all levels). LEVEL4 example verified via OpenIGI QvmDisasm."
"004AF7B0","Error_Show","void Error_Show(char* format, ...)","Shows a fatal-error dialog: printf-style FORMAT STRING + variadic args (e.g. push ""Level_Load(): Couldn't load script: %s""; push scriptPath; call). Param: format = printf-style string, followed by substitution args. Variadic - proven by retail call sites (add esp,8 cleanup) and vsprintf helper fcn.004A5702."
"00402820","Frames_Set","void Frames_Set(int frames)","Set game frames, Params: 30,60 max 240FPS."
"00408350","GameMaterial_LoadParameters","void GameMaterial_LoadParameters(void)","Name from igi.exe error string inside function: ""GameMaterial_LoadParameters: Couldn't load script \""%s\"""". Loads game-material parameters from its script."
"00403B70","Config_ResetGraphicOptions","void Config_ResetGraphicOptions()","Resets graphic options to FACTORY DEFAULTS - machine-verified field writes: width=0x280 (640), height=0x1E0 (480), plus clearing adjacent flag bytes on the profile record. Takes no script args. Registered by igi.exe as ""Config_ResetGraphicOptions"" (site 0x40352B) and called by retail MAINMENU.QVM. Use to restore 640x480 defaults programmatically."
"004F9FF0","Graph_Open","void Graph_Open(uint level,char* graph_str)","Open graph of level,Params: with str 'Graph4019.dat'"
"004137A0","HumanPlayer_LoadParameters","void HumanPlayer_LoadParameters(void)","Name from igi.exe error string inside function: ""HumanPlayer_LoadParameters: Couldn't load script \""%s\"""". Loads humanplayer parameters (weapons/ammo/cycle definitions) from script."
"004157D0","Game_DisablePlayerInput","void Game_DisablePlayerInput(void)","Disables ALL player input (keyboard+mouse) - used by cutscenes/menus. Re-enable with Game_EnablePlayerInput."
"00415830","Game_EnablePlayerInput","void Game_EnablePlayerInput(void)","Re-enables player input after Game_DisablePlayerInput. Takes no args."
"004BBC30","Log_Add","void Log_Add(char* format, ...)","Appends a formatted line to the engine log (variadic printf-style, giant 0x400 format buffer at esp+0x404). Only logs when log-enabled globals 0xA43EC8/0xA43ED4 are set. Param: format = printf-style string + substitution args. Gate your spammy logs behind the enable flags."
"004F0E10","Level_LoadObjects","void Level_LoadObjects(int level_path,int level_len)","Loads all OBJECTS for the level: reads the level object set and instantiates each object entity in the world. Takes the level/path argument from the calling load script. Use during level-load flow before Level_Start. [Name corrected per retail analysis: was LevelLoad/LevelQuit/LevelRestart.]"
"00416550","Game_DeleteHandler","void Game_DeleteHandler(void)","The game's DELETE handler - runs when a level/game session is torn down (quit path), releasing entities and session state. Takes no args. Engine-internal teardown; do not call to 'quit' - it is the cleanup callback. [Name corrected per retail analysis: was LevelLoad/LevelQuit/LevelRestart.]"
"00416FE0","Game_Restart","void Game_Restart(void)","Restarts the CURRENT LEVEL/session: tears down and reloads the running game state (the Ctrl+F4-style restart path). Takes no args. Use to reset the mission without going back to menus. [Name corrected per retail analysis: was LevelLoad/LevelQuit/LevelRestart.]"
"00415B30","Level_Start","void Level_Start(int p1)","Start new level, Params:  p1: 0057BABC"
"00418B00","Menu_Manager","int* Menu_Manager(int p1,char *menu_str,char p3,char p4,int p5)","MenuManager load for inagame or Mainmenu,Params:  p1: 0057BABC ,p3,p4,p5: 0."
"00415A60","Game_DisableMusic","void Game_DisableMusic(void)","Stops the music engine. Takes no args."
"00415A10","Game_EnableMusic","void Game_EnableMusic(void)","Starts/resumes the music engine. Takes no args."
"00495F30","Music_SetSfxVolume","void Music_SetSfxVolume(float volume)","Sets the SFX bus volume feeding the music/sound mix path. Param: volume = float 0.0-1.0 scaled by global factor. Use for live SFX fade."
"00495E70","Music_SetVolume","void Music_SetVolume(float volume1,float volume2)","Sets BOTH music engine volumes (likely front/master pair) after scaling by the global music factor. Params: volume1, volume2 = floats 0.0-1.0 scaled against settings. Use for live music fades."
"004158E0","Game_UpdateVolume","void Game_UpdateVolume(void)","Applies current profile music/sfx volumes to the live audio engines. Takes no args."
"004EDFE0","PhysicsObjType_ParseConfigFile","void PhysicsObjType_ParseConfigFile(char* cfg_file)","Name from igi.exe error string inside function: ""PhysicsObjType_ParseConfigFile(): Couldn't load script"" @0x54DC7C. Parses a physicsobj type config."
"004B0D60","Qhash_Init","void Qhash_Init(char hash_val)","Init hash table value, Params: hash value 0 or 1."
"004B0D90","Qhash_Reset","void Qhash_Reset(void)","Reset QTask type hash table."
"004B8410","Qsc_Compile","int Qsc_Compile(char* qscPath)","Compiles a .qsc SCRIPT SOURCE into a .qvm binary: resolves the path (fcn_004B5B60), pulls the source through ResourceLoad (0x4B5F00), allocates a 0x94-byte compiler context via Mem_Alloc, emits "".qvm"" output. Param: qscPath = script source path. RETURNS result object/flag."
"004F0E90","Qtask_Update","void Qtask_Update(void)","Update QTask hash table call before loading level."
"00401B20","Qtask_UpdateList","void Qtask_UpdateList(int* p1)","Update all QTask list, Params: p1 ??"
"004BB270","QScript_Assemble","int QScript_Assemble(char* srcText, int srcLen2)","ASSEMBLER stage of the script pipeline: strips comments via regex ""{.*:(.*//)*}.*"", initialises the parser (""Initialising parser.""), generates assembly code and WRITES IT TO ""LOCAL:qvmbin.tmp"" (also referenced as /0qvmbin.tmp). Params: srcText = script source buffer, srcLen2 = secondary length/context arg. Returns assembly result."
"004B85B0","Qvm_Execute","int Qvm_Execute(void* qvm)","EXECUTES a loaded QVM script program (the interpreter entry - despite the old analyst label QvmRead). On runtime failure reports ""Error in QVM program: %s"" / ""An error occured in script file: %s"". Param: qvm = pointer from Qvm_Load. RETURNS script result value."
"004B80B0","Qvm_Load","int* Qvm_Load(char* qvmPath)","Loads a COMPILED .qvm script binary from the virtual filesystem (appends/selects "".qvm""; big 0x130 stack frame builds the script object). Param: qvmPath = path like ""LOCAL:common/ai/guard.qvm"". RETURNS pointer to the loaded QVM object, 0 on failure (calls engine debug-state check 0x48F1D0 first). Use before executing/attaching scripts."
"004BBCB0","QScript_ParseAndAssemble","int QScript_ParseAndAssemble(char* srcText, int options)","PARSE+CODEGEN driver: logs ""Parsing script and generating assembly code."", runs parser state globals (0xA442D0..), writes output (""Failed to open file '%s' for writing.""). Params: srcText = script source, options = parser option word. Part of the QscCompile pipeline feeding QScript_Assemble."
"004B63D0","Resource_Flush","void Resource_Flush(void* resEntry)","Flushes/finalizes ONE resource entry: walks the global resource list (0x943E38), matches entry+0x34 against the argument, errors ""Resource_Flush() : Couldn't locate resource at %p."" when absent. Param: resEntry = resource pointer/address to flush."
"004B5F00","Resource_Load","int* Resource_Load(char* resourcePath, char** outBuffer)","Loads a resource into memory WITH CACHE CHECK: first asks IsResourceLoaded (0x4B5B90); if cached returns the existing entry, otherwise loads and registers it. Params: resourcePath = virtual resource path, outBuffer = receives the data pointer. RETURNS resource entry pointer."
"004B6380","Resource_Unload","void Resource_Unload(int *resource_file)","Name from igi.exe error string inside function: ""Resource_Unload() : Resource '%s' is not loaded."" Unloads a resource by name/path."
"004B5B90","Is_ResourceLoaded","int Is_ResourceLoaded(char* resourcePath, char** outEntry)","Checks whether a resource path is ALREADY LOADED in the resource manager (walks path handling backslash 0x5C segments against the registry). Params: resourcePath = virtual path, outEntry = receives matching entry. RETURNS non-zero + fills outEntry when found. Resource_Load calls this first - use it to avoid double-loading."
"004B18B0","Resource_PackUnpack","int Resource_PackUnpack(char* resFile, char** outBuffer)","Opens a PACKED resource file via QFile_ReadWrite (0x4B1510, mode string at 0x53B604) and unpacks its contents through the pack table at 0x9436E8. Params: resFile = packed resource path, outBuffer = receives unpacked data. RETURNS entry/result pointer."
"004B16D0","Resource_Unpack","int Resource_Unpack(int* resPtr, int destAddr, int resSize)","Unpacks a loaded resource blob to a destination address. Params: resPtr = packed resource pointer, destAddr = destination memory address, resSize = bytes to unpack. RETURNS unpacked size/status."
"004F0E50","Script_Init","void Script_Init(char* file_name,int8_t p2,int p3,int8_t p4)","Initialises the script system for a file. Params: file_name = script path, p2 = byte flag (observed), p3 = int option, p4 = byte flag. Refined types from decompiled header (two int8_t slots detected)."
"004B8930","Script_SetSymbolContext","void Script_SetSymbolContext(byte *symbol_name,int** symbol_buf)","Name from igi.exe error string inside function: ""Script_SetSymbolContext(): Symbol not found: %s"". Sets the symbol context for subsequent script operations."
"00485AD0","StatusMessageScreen_ClearMessages","void StatusMessageScreen_ClearMessages(void)","Clears all on-screen status messages. Takes no args."
"00485970","StatusMessage_ShowFull","void StatusMessage_ShowFull(int timer, char* message, char* sprite, int styleByte)","Full-parameter status message: queues an on-screen HUD message with icon and styling (allocates via Mem_Alloc, reads current status word 0x540A8C). Params: timer = display duration, message = text, sprite = HUD sprite/icon ptr, styleByte = display style byte. Use MISC::STATUS_MESSAGE_SHOW wrapper for simple cases."
"004C0460","Symbol_Remove","int Symbol_Remove(int* symTable, char* symName)","Removes a symbol from the game-data symbol hash table; warns ""Unable to remove symbol \""%s\"" (not registered)"" when absent. Params: symTable = symbol table, symName = symbol name string. RETURNS non-zero on success. Call after dynamically registered symbols are no longer needed."
"004B8810","TaskType_Set","void TaskType_Set(int** taskDef, int taskTypeId)","Stores the TYPE ID onto a task definition structure (simple field write, verified 2-arg store). Params: taskDef = task definition object, taskTypeId = TASKTYPE_* enum value (TASKTYPE_GUN, TASKTYPE_BUILDING, etc. - full enum embedded in igi.exe .data)."
"004AF810","Warning_Show","void Warning_Show(char* format, ...)","Shows a warning dialog - printf-style variadic like ErrorShow (retail: push str.""QTasktype \""%s\""...""; push eax; call -> add esp,8). Param: format = printf-style string + substitution args."
